Text,Label
i get platitudes from well meaning folks that can make me feel like i should be bothered about things that don t bother me,anger
i feel like we just rushed around trying to see things its still quite beautiful,anger
i male are stupid first for woman cry babies and should get over it and you feel really cool for putting the stupid men in their place,joy
i am trying really hard because i really want to feel faithful and close to him,love
i loathe it as a gamer said molyneux adding that it just makes me feel insulted,anger
i dont think my desire level is too much to bear but i feel unwelcome,sadness
i decided that i was feeling so horny that i would have to do something before i burst,love
i know we often feel like we dont know what books to use during our lessons and sometimes find the provided leveled readers to be boring,sadness
i forgive myself for accepting and allowing myself to feel uncertain about my application within this i reveal that i feel uncertain within myself,fear
i find every body beautiful and only want people to feel vital in their bodies,joy
i hate the feeling of being disliked and it seems as though its very common for me,sadness
i feel selfish for that choice i made i just beg that you dont let your love for me go away,anger
i did restart my gallery but only because i was feeling very vain and gorgeous at the time,sadness
i feel suspicious but i cant walk a way i like him i always had a thing for football players i know ive been m,fear
i feel so extrememly bitchy today that ive done something i have never done in my years of life,anger
i said earlier he was feeling ignored ever since the baby came but is now getting back to normal as attention is given to him as well,sadness
i guess fiction powers along on good emotions versus bad emotions there wouldnt be much excitement if all the feelings between the characters were sweet and harmonious,love
i read which i feel i didn t need to read makes me a little grumpy,anger
i notice enjoyable moments are even more enjoyable because i recognize how far the feelings i get are from the horrible sensation i get when something bad happens,sadness
i feel like a rebellious year old that stands in the doorway flicking the lights off and on in the depths of my spirit,anger
i feel like supporting local and indie businesses is extra important for me since i run one myself,love
i am overwhelmed with the deep heart hurt that feels like an empty ache that starts in my chest and spreads through my soul,sadness
im still feeling shaky i realized that i felt intolerably hot all the time which i may mention is the polar opposite of what i normally feel like,fear
i feel like im taking care of a needy puppy not living with a mother,sadness
ive been feeling passionate about local business lately and i do like to walk through consignment stores and second hand shops just as much as i enjoy goodwill,love
im still feeling that christmas loving with my polyvore boards and its only the start of advent,love
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger
i know exactly how put out you are and feel like it is only really acceptable to foist that inconvenience on family,joy
i feel so spiteful towards people sometimes just the way they look makes me want to hurt them,anger
i am still working through the guilt of feeling selfish for self preservation without the justification that i must survive to bring up my babies,anger
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,joy
i definitely know how it feels to think that whoever your beloved is with doesnt deserve them,love
i feel like the supporting literature cited in this section is not only scarce but also badly presented,love
i feel pressured and can not move on to other items in our wedding checklists,fear
i feel which is glamorous and my little lacy bottoms have a tiny g string underneath,joy
i almost feel greedy with my rd child when so many people i know are working so hard for or,anger
i try to hang out with the both of them then i feel like this awkward third wheel,sadness
i feel like i just dont have it in me to keep loving him and he deals me a card and it says mercy,love
i remember a couple of years ago i was feeling romantic and dreamy and asked him wonder if we ll celebrate our th anniversary,love
i feel really horny when i wear them they hug my c k balls really nicely,love
i really have no reason to feel gloomy except for the fact that weve tried many things that should have worked and did not,sadness
ive also discovered that because i feel less agitated by caffeine and cravings this coping method is unnecessary huge,fear
i feel so ecstatic that i survived my comprehensive exams because i was never sure if i would survive not just pass but survive,joy
i feel like i am going to throw up or something i hated that site soooo much,sadness
i feel thrilled to be able to investigate my own personal mythology around this subject,joy
i feel is only acceptable when that violence could lessen much more violence this could also apply to what i am discussing below i,joy
im not sure why i always feel reluctant to write nutrition health posts but i decided that those days are over,fear
i feel like garbage i cant think about being thankful right now it hurts too badly,joy
i cherished and enjoyed i didn t have many friends in college and she was my first real friend that made me feel like i was accepted,love
i feel like i do for every one and the only one who does for me does it with an attitude and is aggravated to be asked,anger
i do understand my mother and i feel bad that i cant help the way she wants me to because im still trying to help myself,sadness
i would feel myself being a little bit repressed in my creativity and ideas would not come to me as easily,sadness
i find myself whinging about the temperature every day at the moment but it does feel ridiculously hot,love
i do feel like the blank slate leads for a ton of possibilities which gets me really excited,sadness
i don t feel respect i don t feel admiration and i don t feel an entirely romantic tone,love
i write on my blog here that i want or i am going to do something i feel more pressured for want of a better word to do it,fear
i feel very privileged not only in being able to share in her artistry but knowing she has my back,joy
i started pin pointing faults at home and with relationships feeling left out and confused about my purpose in peoples lives that i had once been close to,fear
i prep myself for another sleepless night i can t help but feel ashamed of myself for feeling this way,sadness
i was reluctant but hey i was feeling so lousy i had nothing to lose,sadness
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,joy
i love the liz earle moisturizer it does really leave the skin feeling lovely but i think i will purchase the lighter version next time,love
i left that meeting feeling helpless and betrayed by the very laws that are supposed to protect me and other people in this state,fear
i feel out of place posting here since i feel so hesitant to join aa full force but i could use some insight from the people on the inside,fear
i do feel insecure because if there was a way to examine boyfriends he d be exempted,fear
ive been really angry with r and i feel like an idiot for trusting him in the first place,joy
i love the museums there and although i love art i feel very dumb not knowing all of these paintings,sadness
i always spend more money there than i mean to and feel dissatisfied when i exit the store,anger
i feel pathetic encased in stiff and unused limbs my mind plateaus and dreams of beyond,sadness
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear
i feel awful that these thoughts are running around in my head but i can t help it,sadness
i was blessed but in some ways i feel like im being tortured by divinity,fear
i got the guinea pigs when i lived in a tiny flat in london and was feeling pretty depressed about life,sadness
i love the porn industry and i feel satisfied and fulfilled working in it i have to say that it doesn t really bring in the big bucks,joy
i would probably dine here once in a while especially if i am feeling rich which i dont,joy
ill let you in on a few more huge dieting secrets just because im feeling very festive and giving right now,joy
i am feeling blessed that i live in america have a wonderful family and that dorothy kelsey was a part of my life,love
im starting to think we may need to have to put a big sign on our door telling them so at least that would save me from feeling rude,anger
i wasn t feeling insulted over its idiocy i felt supremely bored and actually wound up fastforwarding through a few scenes,anger
i sometimes feel shy about my musical taste because some of it wanders towards what some might call techno slander,fear
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,joy
i fear that other people ask me about my feelings i am most reluctant to talk about things,fear
i guess i talked to enough people to realize that we all feel intimidated by meeting others for the first time,fear
i plan to run miles in the morning which is a distance that generally leaves my bunion feeling extremely tender and painful,love
i was feeling a bit lonely because poor henrietta had been in the shop for so long and ariel was right in chelmsford waiting for me,sadness
i wish i could be there for all the people who i feel i should be there for and supporting in these times,love
i feel lonely at work im not a social bird as i usually am when i was in school,sadness
i signed the petition and knowing that it will be served in the next few days has left me feeling vulnerable as i am unsure about his reaction,fear
i love that its adoption of a teenager which many people feel afraid to consider,fear
i want something that is personalized where they can appreciate and at least feel that i am for real sincere in giving them,joy
i feel like those rich people all fall into the category of don t belong when i see them on the bus,joy
i havent written in awhile and it feels terrific to scribble stuff down in a notebook from time to time,joy
i feel that there is something valuable about herzog s study particularly as it relates to the idea of art and media influencing society and culture,joy
i am feeling so low lately just feeling of hopelessness is very disturbing making me tired and sick entire of living this kind of life,sadness
i didn t see anything but as i touched i could feel that your body was so delicate,love
im feeling it now my soul cries it aches for your laugh that sweet melodious voice it pains my dear,love
i cant abide the political mess the country is in though i feel equally enraged about the state of uk politics,anger
i fall victim to feeling inadequate if i am anywhere short of perfection in what i set of my expectations or what i perceive are the expectations of others,sadness
i leave the nursing home each week feeling so joyful and ready to come back again,joy
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy
i feel like i cant take it anymore i told my boyfriend and he is furious,anger
i love my job and know that the surgeries were doing are emergencies i always feel resentful especially when it is am and i was sleeping,anger
i am healthier when i don t feel horny often i m not as sexually frustrated,love
ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness,sadness
i took part in a football match the referee was extremely partial to the opposite team this stirred up my discontent and anger,anger
i didnt want others negative energy weighing us down and influencing my feelings and thought process during this special time,joy
i feel like i get easily distracted in making things and switch around to many different projects throughout a week,anger
i was playing with friends then i decided to splash some sand into a car which was moving nearby the driver got angry and came to report to my parents,fear
i am feeling honored grateful and blessed to get to spend each day with these remarkable th graders,joy
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger
i thought about my own depression about the negative thoughts ive had lately and how i can intervene in those thoughts to help myself not feel so depressed,sadness
i can feel passionate about taking a stand and maybe understand that this one as yet to be chosen issue is worthy of my time and efforts,love
ive stamped out old relationships feeling like the distance and time apart would cause people to forget or somehow give enough reason for them to stop caring about me,love
i feel shy of sharing too much about it right now like its a delicate bird that hasnt taken flight,fear
i feel can be really popular in the underground if they get themselves out there and thank god for this i m looking at you toby and tunji,joy
i read cases of sons ignoring their old and helpless parents i feel very unhappy and sad,sadness
i feel was where i fucked up a bit and something i wish i could change,anger
i feel like im actually doing somewhat well with it and right now im getting my swing down,joy
i am torn about the situation because it happens a lot but they have supported me and i feel like i should be supporting her again now,love
i had just bought some stuff in guardian for contests and was feeling a bit too over the top if i grabbed indiscriminately in caring as well,love
im feeling generous or in a restaurant like the mandarin grill which has a fairly stellar reputation this impression may be extended to edible yet decorative garnishes like samphire,love
im happy to have this in my kitchen but it feels like someone rushed this out and cut corners,anger
i personally don t think a cavalier should be trimmed i feel it spoils the look of this breed especially when it has such a gorgeous full coat,joy
im feeling that i will never being disturb by the naughty student at the school anymore,love
i am feeling that bitter sweetness that comes from a deep recess in my soul,anger
im more comfortable in a relationship because i wont feel as slutty being with one person having the same amount as i would if i were single or not,love
ive heard so how are you feeling so many times and discussed my uncertain future with so many people that the conversations are blending together,fear
im feeling slightly empty right now as if i want to reach out my hand for someone anyone to hold,sadness
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,anger
i feel there is really no point in me loving him after getting to know his true color,love
i just feel like if i don t suffer to produce something then it s not worthwhile,joy
i used to share my feeling and thought all to my lovely roomates shermin and joey,love
i am still numb i question everything about what i feel and terrified to trust all my feelings,fear
i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,sadness
im sorry this apparently offends a lot of other women because its only women who feel the need to say something rude but im going to do it anyway,anger
i feel like ive been reading lisas blogs for ever and it was lovely to finally meet her and her boys who i recognised immediately,love
i remember feeling more amused than sensing that i was in any real danger however i must have been experiencing a little bit of shock,joy
i do struggle i dont get anxious instead i feel that much more determined to succeed,joy
im feeling craving theres always a tender morsel of a song ready to appease my appetite,love
i know im quite selfish but sometimes i feel like i dont want to throw everything just for something that is uncertain,fear
i started to feel a lack of connection to my husband i m sure as a direct result of not spending much one on one time together,joy
i feel my lip curl up into a half smile amused at the way he s put it,joy
i don t feel so self assured i need to compete or to justify why i m so clearly not doing as well as someone else,joy
i invest in my friendships i feel hurt when i perceive that this investment is not returned,sadness
i feel naughty and dirty sometimes but this gives me certain pleasure so why not,love
i feel some control over caring for the little ones finances future decisions family tensions tough friendships you name it,love
im feeling a little apprehensive about it because i feel like im suddenly way too old compared to my mental age of about,fear
i think that when we say i feel so alone in this or i feel like i am facing this all alone we dont really mean what we say,sadness
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger
i know a lot of councillors who do not feel they get a sympathetic hearing from their local newspapers,love
im feeling generous heres a holiday classic for you iframe allowfullscreen frameborder height src http www,love
i feel like everyone who will be caring for zach in some way needs to be at least slightly educated in what is ok and what is not,love
im also worried that youre feeling a little lost in the middle these days and like youre not getting enough attention from us,sadness
i feel exhausted after i am done reading its like i live multiple lives all at once in the span of a day,sadness
i have faith but don t feel convinced that its if i am on here asking questions,joy
im really praying and concentrating and im just inundated in thoughts that i feel should be devoted much time to,love
i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder,fear
i feel that it is dangerous to portray angels as walking the earth and intermarrying with humans,anger
i am fair skinned and i feel that this gives a lovely highlight on pale skin without just looking like a mass of glitter,love
i love and feel passionate about i m living my dream and now that i ve gotten a taste of what that feels like nothing can stop me,love
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,joy
i havent been feeling incredibly passionate about medicine recently in fact i havent been feeling particularly passionate about anything,love
i bought this one a couple years ago and it makes you feel a little glamorous,joy
im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,joy
i appreciate not having to do it but it feels so strange to be sitting around not packing when a move is so close,fear
i just got really crunk about a situation and now i feel like i have to write to calm down lol,joy
im still feeling a little hesitant but plunging in with a multitude of colored pencils nonetheless,fear
i was feeling resentful enough to want to write about it here which means i need to work on look getting my hackles raised when others judge me,anger
i feel like i talented young man i don t feel talented then i don t to work with,joy
i go back to that day however and hear jesus words the son of man has authority to forgive sins on earth i feel electrified and doubtful,fear
i feel my heart is in your hands your love is all that i demand so give me a chance to show you sweet romance a href http creativecommons,love
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger
i do feel pressure to provide my faithful reader with a mock draft ive decided to go forth promising to emphasise speculation rather than educated mock over draft,love
i feel like he deserves to be hated and i want him to know exactly how much i do,sadness
when i was years old my father travelled very much for his work he passed three months away from home,sadness
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy
im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy
i seriouly feel i am not being respected i dont have my privacy i am being ordered around,joy
i became more dismayed as i studied what people were wearing and started feeling like though some of the outfits were gorgeous they were bought that way,joy
im a huge fan of both london grammar and disclosure so in my eyes this is just a perfect collaboration and it definitely helps to make me feel creative,joy
i feel badly enough about myself and everything thats going on and some of these people that are supposed to be helping me arent particularly sympathetic,love
i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things,joy
i feel entirely free to express the way i feel about surroundings my life and the myriad of experiences that continue to make me who i am,joy
i feel very lucky and it is nice to be able to buy some lovely resources for the little ones i care for,joy
i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable,sadness
i feel that our values need to be shifted in the direction of caring for all things on earth for each other and for the planet we live on,love
i now feel compromised and skeptical of the value of every unit of work i put in,fear
i feel like i m teetering on the edge of hoarding insanity when it comes to my beloved clothing,love
i can feel the strokes getting harder and faster as i try in vain to find that release,sadness
i blanked a little on a lesson and she seamlessly jumped in to support me without making me feel stupid or inferring it to the kids,sadness
i necessarily believe in the power of rape whistles but i never got one and i feel grossly unprotected by my campus,fear
i feel an inner conflict between my sense of duty and my desire to play i hadn t entertained thoughts of sex,joy
i feel embarrassed but i don t want others to take pity on me i have too much pride,sadness
i began to feel each of my senses dull until the cold black unconsciousness over came me,sadness
i will gladly endure a million emotional blowouts and tantrums for the privilege of feeling her tender hands in mine,love
i feel a bit mournful since i read a bulletin of one of my myspace friends,sadness
i was beginning to feel almost jaded by backpacking i guess the endless bouncing around a title comfort v cash my backpacker struggle with overland travel href http www,sadness
i reached down to feel what that strange sensation was and i felt something there,fear
i do not see or feel the need to respond to any of your ludicrous questions concerning anything,sadness
i feel that i don t have anything to contribute to the conversation about books and that my writing is boring shallow bunk,sadness
i feel humiliated i choose to believe that somehow janis sanders will see these words and know that he cannot get away with abusing others,sadness
i do feel my beloved husbands spirit more and more strongly an indication to me that another breakthrough is imminent,love
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,joy
i feel very strongly that the only way to eat cornbread is if its sweet cornbread with butter and honey dripping off each piece,love
i can remember a year ago yesterday feeling so unsure so scared of what our future held,fear
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear
i feel i am shy and i am afraid of keeping my point of view,fear
im drunk for example i feel a lot less shy about speaking in a foreign language that i havent yet totally mastered,fear
i need to feel like im accepted and that i matter and that im loved,love
i remember feeling impatient with the endless and convoluted fairy tale that was told throughout the book,anger
i feel like theres a dangerous chance that im pulling a don quixote on this blinding rushing at the windmill that is my eventual marriage or future child,anger
i have to admit i always feel apprehensive to order the wings when im eating out,fear
i need to do the best i possibly can do and even when i get out at i feel too listless to study like right now,sadness
i still feel like a kid eager to blow the candle open gifts and all that good stuff,joy
i have to admit that i was feeling distracted by the fact that i was blocking traffic,anger
i was sipping my diet coke watching my the swimming lessons and feeling aggravated that my mousekins were not being better listeners the thought crossed my mind,anger
i am very fascinated by it and don t feel so uptight by the many challenges life has because of it,fear
i see are self centered statements about you and your feelings and your looking for a sympathetic ear from anyone that will listen,love
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,fear
i just want to warn you that im feeling rather delicate at the moment so dont expect too much from me,love
i think she is pretty sure she is not the victim then feel really unfortunate to bobo if she is really pregnant,sadness
i feel so alone i feel like theres very few people who will actually listen to me,sadness
i went into the movie i was feeling skeptical and slightly nervous that i was going to be disappointed,fear
i feel so out of the loop and have missed alot but i am catching up,sadness
im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom,sadness
i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,anger
i am going to assume a moral obligation to find a way to make sure i feel pretty damn rich every day,joy
i am merely a man who will feel humiliated whenever i am intimidated by you,sadness
i feel i will never escape something drawing attention to my forehead when distressed because i imagine old age will turn the scrunching into permanent wrinkles,fear
i feel like i m being punished for all the years of weaning myself off of drama,sadness
i feel on the verge of tears from weariness i look at your sweet face and cant help but tenderly kiss your cheeks,love
i feel his love and blessings as i meet loving supportive people as im inspired to write new songs and as my life unfolds before me,love
i will probably do but for some reason i feel a bit agitated by it all,fear
i feel impatient but much thanks to nic she knows how to calm to me down,anger
i feel like i should be more bothered by this topic but for some reason im sor,anger
i are feeling horny and decide to give a double header long wet sloppy blowjob,love
i feel like i should be thrilled and i am but at the same time i feel like crap,joy
ive been feeling a little frantic recently because our summer together is flying by so quickly,fear
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger
i feel for you despite the pain makes me suspicious that it might be so,fear
i didnt feel that there were enough strong smart and funny female main characters in fiction and since thats what i imagine myself to be i started writing,joy
i have a bunch of ideas but at the same time i feel intimidated because i am just a freshman and apparently know nothing about anything,fear
i remember feeling embarrassed that not only someone recognized me but called me such a name,sadness
i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,fear
i wonder if they would feels as delicate and pretty in my hand as they looked upon the framework of branches,love
i feel like i m that dirty trash bin on the streets that nobody really sought,sadness
i can feel his impatient and i can t stop my body from giving him positive response,anger
i started to feel resentful of the whole situation and that s when something clicked,anger
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,anger
i longed for that feeling i once knew the feeling i treasured once and forgot because of pain,love
i refuse to let myself feel bitter about the small sacrifices we have to make,anger
i drove back to the beach staring at the thing on the seat beside me feeling very depressed,sadness
i feel delighted toward something it could be an acheivment i did or my surrounding or even unexpected event that happen to me,joy
i feel that disdain from him when i acted as if id been wronged by him,anger
i dream of jeannie i could still feel the violent grip of his hands on my shoulders,anger
i really enjoy having the weekend off i feel naughty for not doing but i am still getting results and it is a really nice treat,love
i miss the feeling of someone actually caring about what is going on with me and how i am feeling,love
i stand by that he is actually annoying giggle i also acknowledge that i have been feeling very dissatisfied,anger
i set off feeling strangely nervous and quite weak but slowly worked through the problems and was soon attempting the toughest problems,fear
i think its safe to say we were a learning experience for one another and i honestly have nothing but positive feelings and fond memories for you,love
i guess she didnt feel the need to rescue her son from the vicious man eaters,anger
i like to participate in sketch challenges from time to time when im feeling inspired,joy
i wanted other women to feel envious of my figure and say oooh youd never guess youd just had a baby,anger
i didnt want to be lazy or feel groggy so i just kept drinking red bull,sadness
i get so irritated with the fact that i am a feeling emotional person but can t cope with feelings of rejection,sadness
i feel honored to be with many wonderful artists and to display my work for the public to see,joy
i look out on this scene i think about how cute it is and enjoy a swelling feeling of pride in the playful delight of my dog,joy
i hope i am not like that and i feel inspired by the prestige of others,joy
i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger
i am presenting here a few that we have managed to find which really clean your hair really leave it feeling lovely and really really won t irritate your skin,love
ive gained wieght but i really would like to lose pounds to just feel like ive finally gotten to an acceptable happy place,joy
i tell my a little how much i hate feeling needy how i hate that moment when i know ive become too attached in my own head,sadness
i stopped looking for a solution to my problem and i stopped feeling like i have to be dissatisfied,anger
i have to have it done but i feel terrified of another intrusion to my body,fear
i guess when you are constantly feeling unhappy around the person it is a sign to you to remove this person from your life,sadness
i just feel cold and drained all the time im either hungry or tired or cold at the moment and it sort of sucks,anger
im hurting because i feel like my friends are no longer supporting me just because im struggling,love
i dont know why i feel so frantic about this but i really want to have this particular song for my little girl to be,fear
i understand that you may feel that it is very rude that i keep destroying your house with my face,anger
i feel bitchy today its as if today i realized that i couldnt count on any of my friends anymore,anger
im trying to focus on not feeling sorry for myself and not being upset over the loss of a material possession,sadness
i remind myself or am reminded of my passions and opinions i just feel incredibly agitated and frustrated there is this ball of energy with no channel to travel,fear
i feel slightly naughty holding this cd seeing as it doesnt officially release until tuesday,love
i feel so blessed and honoured to be sharing my knowledge on my two absolute favourite topics in this life,love
i often feel that i m being submissive by not being open and honest about my desires and needs on a regular basis,sadness
i don t want to cry either because i know she ll think i feel tortured having to eat the black part of the rice,anger
i feel so blessed now that i think something tragic is going to happen to me in the future huhuhu see i m still battling that thinking positive thing,joy
i began to feel sympathetic for khezef but i wasn t sure if i was right about him,love
