id,search_keyword,text,followers_count,followings_count,listed_count,statuses_count,user_effect,retweet_count,tweet_length,time_span,registration_age,registration_age_days,hashtags_count,r_score,target
1.63E+18,دانش آموز اصفهانی,"🔴 ماجرای دختر اصفهانی!

🔹دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره! https://t.co/itJyKzULxY",298,833,0,37,0.358,1,294,21,0,22,0,0.263,0
1.63E+18,دانش آموز اصفهانی,"ماجرای دختر اصفهانی!
این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
 در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره
ضارب همون موقع دستگیر شده و الان بازداشت شده است https://t.co/PAqKaGx8sB",31,66,0,137,0.47,0,298,94,0,96,0,0.32,0
1.63E+18,دانش آموز اصفهانی,"ماجرای #دختر_اصفهانی!
دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
 در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره!
ادامه... https://t.co/PP96oDtr6F",292,347,1,3143,0.841,3,301,992,2,994,1,0.457,0
1.63E+18,دانش آموز اصفهانی,"وقاحت فارس در جعل روایت

فارس صورت خونین دختر دانش آموز اصفهانی را نتیجه درگیری ۲دانش آموز و دخالت و هل دادن مادر یکی از آنها اعلام و ادعای کاربران را رد میکند چون موضوع حجاب با توجه به سن او دور از ذهن است!

گویا سن استانداردمضروب شدن براب حجاب با سن تکلیف فرق میکند

#مهسا_امینی https://t.co/Bglu4UDm18",392,266,0,9154,1.474,3,304,2481,6,2483,1,0.596,1
1.63E+18,دانش آموز اصفهانی,"#تکمیـــــلی
🟥 ماجرای دختر اصفهانی
◼️ دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه، در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و کتکش میزنه !
#رشتو https://t.co/acLQIduyQp",1834,1636,4,13963,1.121,10,303,1909,5,1911,2,0.529,0
1.63E+18,دانش آموز اصفهانی,"ماجرای دختر اصفهانی!
دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
 در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره! https://t.co/st5OjPuSsn",857,1355,0,2688,0.632,0,291,155,0,156,0,0.387,0
1.63E+18,دانش آموز اصفهانی,"🔴ماجرای دختر اصفهانی!

🔹دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تامادرش که رفته برادرش رواز مدرسه بیاره برسه، در همین حین مادر یک دانش آموز دیگه که داشته ردمیشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره!

🔻نکات مهم https://t.co/diqUEjBQOE",1241,1252,0,7722,0.991,0,301,145,0,147,0,0.498,0
1.63E+18,دانش آموز اصفهانی,"#رشتو

ماجرای دختر اصفهانی!
دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
 در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره!

۲/ https://t.co/xskgm99MDo",17170,450,82,43166,38.156,441,302,1717,4,1719,1,0.974,0
1.63E+18,سارا شیرازی,"نام دختری که دیروز فیلم کتک خوردن و صورت خونی او منتشر شد #سارا_شیرازی است و نام زنی که برای حجاب که او را کتک زده #راضیه_هفت_برادران است.سارا ضربه روحی بدی دیده. 
دستگاه امنیتی خانواده‌اش را تهدید کرده‌اند، اطلاع‌رسانی کنید ماجرای #مهسا_امینی تکرار می‌شود. 
صدای سارا باشیم. https://t.co/V8DjzjXFWc",80225,1598,152,10230,50.203,8126,299,3843,10,3845,3,0.98,1
1.63E+18,سارا شیرازی,به زبانهای مختلف به مردم جهان بگویید این تصویر یک فیلم هالیوودی نیست این تصویر #سارا_شیرازی دانش آموز و دختری خردسال در اصفهان است که در راه مدرسه چون حجاب اجباری بر سر نداشت توسط یکی از عوامل وحشی جمهوری اسلامی مورد حمله قرار گرفت و خانواده اش را تهدید کرده اند تا سکوت کنند https://t.co/QbFNFV49pd,77249,2496,396,50434,30.949,5353,299,2120,5,2121,1,0.969,1
1.63E+18,سارا شیرازی,"خانواده  #سارا_شیرازی  رو تهدید کردند  بلای #مهسا_امينی را بر سرش خواهند آورد .
امشب فقط از این دخترک زیبا میگیم به هر زبانی که میتوانیم تا دنیا را از یک تهدید دیگر توسط جمهوری کودک‌کش آگاه کنیم. https://t.co/IxgfSWCZ0S",13134,1570,40,57913,8.366,4937,219,2585,7,2587,2,0.893,1
1.63E+18,سارا شیرازی,"هشتگ #سارا_شيرازى رو هر چقدر میتونید منشن کنید باید ترند بشه صدای خواهرمون باشید 
#سارا_شیرازی 
#IRGCterroirsts",289,435,0,21553,0.664,0,111,155,0,155,3,0.399,1
1.63E+18,سارا شیرازی,"پدر #محسن_شکاری براش نوشت :
محسن جان تولدت در آسمان مبارک.
جمهوری اسلامی محسن رو از خانوادش گرفت، محسن رو از ما گرفت..
نه میبخشیم نه فراموش میکنیم.
تولدت مبارک قهرمان.
#مهسا_امینی 
#سارا_شیرازی https://t.co/Zyb3IcgKtA",1613,144,0,99604,11.201,0,217,323,0,323,3,0.918,1
1.63E+18,سارا شیرازی,"بازنشر با تغییر:
وقتی خیابون رو خالی کنید دماغ دختر بچه رو میشکنن.مدرسه دخترانه رو سراسر کشور مسموم میکنند.به اموزشگاهای دختران حمله میکنن.به دخترا و پسرامون تجاوز میکنن.اره! اونا به خاطر جمهوری اسلامی این بلاها سرشون اومده پس همراه شو تا تمومش کنیم!
#مهسا_امینی
#سارا_شیرازی",844,790,0,13942,1.068,0,275,653,1,653,2,0.517,1
1.63E+18,سارا شیرازی,"حتی یزید هم روز عاشورا مانع خوندن نماز حسین نشد

ببینید خامنه‌ای چقدر سفاکه که به نمازگزاران زاهدان هم رحم نمیکنه

#مهسا_امینی
#زاهدان
#سارا_شیرازی",56,126,0,24102,0.444,0,147,157,0,157,3,0.308,1
1.63E+18,سارا شیرازی,"سکوت و سکون شهرهای دیگر، باعث میشود رژیم، نیروهای سرکوبگر بیشتری در زاهدان، خاش و بطور کلی، سیستان، بکار گیرد، لطفا با تجمع در خیابان‌های شهر، تمرکز نیروهای سرکوبگر از یک نقطه را برداریم.

#مهسا_امینی 
#سارا_شیرازی
#زاهدان 
#IRGCterrorists",7,44,0,7827,0.159,0,239,335,0,335,4,0.137,1
1.63E+18,سارا شیرازی,#سارا_شیرازی ؛راضیه هفت برادران که اون دختر رو بخاطر حجاب کتک زده بود,1,18,0,47,0.056,0,69,160,0,160,1,0.053,1
1.63E+18,سارا شیرازی,"شما گفتید با مهسا کاری نکردیم بیماری داشت که فوت کرد حالا نوبت سارا رسید!؟
#سارا_شیرازی 
#مهسا_امینی 
#OpIran",23,44,0,48,0.523,0,109,350,0,350,3,0.343,1
1.63E+18,سارا شیرازی,"#خبر_فوری 

شنیده شدن صدای تیراندازی در خیابان کشاورز زاهدان
همزمان با اختلال در اینترنت، گزارشهای مردمی در خصوص شنیده شدن صدای تیراندازی در خیابان کشاورز زاهدان خبر داده است.
#مهسا_امینی 
#سارا_شیرازی",2378,2446,0,5615,0.972,6,201,120,0,120,3,0.493,1
1.63E+18,سارا شیرازی,"عکس هفته

#سارا_شیرازی دانش‌آموز مدرسه «محجوب» اصفهان  روز ۲ اسفند ۱۴۰۱ مورد ضرب و جرح زنی به نام #راضیه_هفت_برادران قرار گرفت. گفته میشود این زن حزب‌اللهی به خاطر حجاب دخترک را کتک زده است.

https://t.co/hfE667jjlx https://t.co/3GbE0UgXpz",199117,67,521,35100,2971.896,10,239,3276,8,3276,2,1,1
1.63E+18,سارا شیرازی,"ثرد برای “#سارا_شیرازی دانش آموز و دختری خردسال که چون حجاب اجباری بر سر نداشت توسط یکی از عوامل وحشی جمهوری اسلامی مورد حمله قرار گرفت و خانواده‌اش را تهدید کرده‌اند تا سکوت کنند”.
#مهسا_امینی 
#SaraShirazi. https://t.co/gAdLjbEaYe",1909,1048,11,65852,1.822,0,232,326,0,326,3,0.646,1
1.63E+18,سارا شیرازی,"🔴#فوری
شنیده شدن صدای تیراندازی در خیابان کشاورز #زاهدان
همزمان با اختلال در اینترنت، گزارشهای مردمی در خصوص شنیده شدن صدای تیراندازی در خیابان کشاورز زاهدان خبر داده است.
صدای #زاهدان باشید
#مهسا_امینی
#زاهدان_تنها_نیست 
#سارا_شیرازی
#IRGCterrorists",624,1609,1,626,0.388,0,250,84,0,84,7,0.279,1
1.63E+18,سارا شیرازی,"پیام دریافتی، حدود ساعت ۲۳  پنجشنبه:
در #کرج حصار چند صدای انفجار پی‌در‌پی شنیده شد و بعد شروع کردن به هوایی زدن. انگار داشتند پهپاد ردیابی می‌کردند و می‌زدند.'
حدود یک ساعت بعد شهروند دیگری ویدیوهای بالا رو فرستاد: امشب، کرج
#مهسا_امینی 
#سارا_شیرازی https://t.co/BaQT5kgfxg",23,74,0,1982,0.311,0,275,155,0,156,3,0.237,1
1.63E+18,سارا شیرازی,"امروز روز زاهدانه، جو زاهدان به شدت امنیتیه و بخاطر ترسی که از بلوچ هامون دارن اینترنت رو قطع کردن، برای #ابراهیم_ریگی هم که شده
 امروز صدای #زاهدان باشید
#مهسا_امینی
#محسن_شکاری
#مجیدرضا_رهنورد
#محمد_حسینی
#محمد_مهدی_کرمی

#سارا_شیرازی
#آزادی

#WalkoutIRI https://t.co/DFHNHW5WQZ",2,36,0,178,0.056,0,280,423,1,423,10,0.053,1
1.63E+18,سارا شیرازی,"رصد بلوچستان/ انتظامات مسجد مکب دزاپ مانع از ورود نیروهای سپاه به داخل مسجد مکی دزاپ شدند.

نیروهای سپاه از روی دیوار قصد ورود به مسجد مکی را داشتند.  حرامیان مزدور فکر میکنند هر گهی دلشون خواست، میتونند انجام بدند.

 #IRGCterrorists 
#سارا_شیرازی 
#مهسا_امینی https://t.co/67HvU56246",34,45,1,2890,0.756,0,284,151,0,151,3,0.43,1
1.63E+18,سارا شیرازی,"آخرین ویدئو های رسیده از #زاهدان حاکی از جو نا امن شدید و ربودن شهروندانه، بعد از اون اینترنت رو قطع کردن!
#مهسا_امینی 
#سارا_شیرازی",1613,144,0,99604,11.201,10,132,323,0,323,3,0.918,1
1.63E+18,سارا شیرازی,"انتظامات مسجد مکی جلوی ورود تروریست های سپاه رو گرفتن.
-طرف رفته بالای پشت بوم، بهش میگن بیا پایین کصکش =)))
#مهسا_امینی 
#سارا_شیرازی",1613,144,0,99604,11.201,0,134,323,0,323,2,0.918,1
1.63E+18,سارا شیرازی,"+ چرا #سارا_شیرازی را خونین و مالین کردی؟
- چون نهی از منکر معنی اش این نیست که تو فقط وظیفه داری بصورت زبانی، کسی را از انجام کاری ناشایست منع کنی؛ بلکه باید بزنی در دهان او، و دندان‌هایش را خرد کنی.
گرچه کودکی معصوم باشد!!! 
مصداق:
وقاتلوهم حتی لا تکون فتنه...

 #مهسا_امینی https://t.co/q05DxBZNI0",8,47,0,274,0.17,0,300,95,0,95,2,0.145,1
1.63E+18,سارا شیرازی,"به من بگو چطوری دلت اومده دختر به این خوشگلی رو بزنی؟مگه نمیگی با دخترت دعواش شده بود؟خودت بچه نداری بی ناموس؟بعد ادعا دین داریو مسلمون بودن هم میکنین.اسم این خانم راضیه هفت برادران هستش.حقیقتا خخودت داداشات و کل خاندانتو گاییدم 
#سارا_شیرازی
#مهسا_امینی https://t.co/ybCcNScbDt",2,14,0,39,0.143,0,278,141,0,141,2,0.125,1
1.63E+18,سارا شیرازی,"نیروهاتون جلوی مسجد «نمازگذار» هارو میزنن و میکُشن، حتی حماقتی به اسم دین هم این رو تایید نمیکنه.
پولیم ندارید بهشون بدید، همشون تو سگدونی زندگی میکنن!
به این جماعت برده صفت چه وعده ای میدید که دست به چنین جنایاتی میزنن!؟
#مهسا_امینی 
#سارا_شیرازی
#زاهدان",1613,144,0,99604,11.201,3,255,323,0,323,3,0.918,1
1.63E+18,سارا شیرازی,"خب ظاهرا پیدا شد 

راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 https://t.co/sfM6xf8uDu",15,10,0,627,1.5,0,190,158,0,159,0,0.6,1
1.63E+18,سارا شیرازی,"راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هست. 
#خنثی_سازی 
#شناسایی_شد
@VazhNews https://t.co/SvYLVRs6uN",257,44,0,9522,5.841,8,205,156,0,158,2,0.854,1
1.63E+18,سارا شیرازی,"⚠️شناسایی شد⚠️
اسم: راضیه هفت برادران
اسم شوهرش: رسول عبداللهی
محل کار: مدرسه محجوب، محله خان اصفهان
اسم دختر کوچولوی بی گناهیم که بخاطر حجاب توسط این زن مورد ضرب و شتم قرار گرفته بود، سارا شیرازی هست.
#مهسا_امینی https://t.co/IjaTTzIMQo",315,241,0,4025,1.307,0,237,231,0,232,1,0.567,1
1.63E+18,سارا شیرازی,"#شناسایی_شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه…
#مهسا_امینی https://t.co/l6IqGkPIbM",122,167,2,4650,0.731,1,259,155,0,156,2,0.422,1
1.63E+18,سارا شیرازی,"شناسایی شد:
اطلاعات از ضرب و شتم یک دختر مدرسه ای در اصفهان
ضارب آمر به معروف: راضیه هفت برادران
نام شوهرش: رسول عبداللهی
مکان حادثه: مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداختنش #سارا_شیرازی
هموطنان اصفهانی تحویل شما https://t.co/kKMoUqkmyj",2975,3572,4,14356,0.833,1,289,382,1,384,1,0.454,1
1.63E+18,سارا شیرازی,"شناسایی شد:
اطلاعات از ضرب و شتم یک دختر مدرسه ای در اصفهان
ضارب آمر به معروف: راضیه هفت برادران
نام شوهرش: رسول عبداللهی
مکان حادثه: مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداختنش #سارا_شیرازی
هموطنان اصفهانی تحویل شما https://t.co/EtfBP26Xl1",1634,971,1,12099,1.683,34,289,419,1,421,1,0.627,1
1.63E+18,سارا شیرازی,"#مهسا_امینی #مهسا_امینی ⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه. https://t.co/c7tilhWIMD",8,2,0,14882,4,0,272,135,0,137,2,0.8,1
1.63E+18,سارا شیرازی,"#مهسا_امینی #مهسا_امینی ⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه. https://t.co/aLr6pBjwMa",8,2,0,14882,4,0,272,135,0,137,2,0.8,1
1.63E+18,سارا شیرازی,"#مهسا_امینی #مهسا_امینی ⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه. https://t.co/c5byxext6B",8,2,0,14882,4,0,272,135,0,137,2,0.8,1
1.63E+18,سارا شیرازی,"خب ظاهرا پیدا شد 

راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش اصفهانی های عزیز خوب از خجالتش در بیاین💔

#مهسا_امینی 
#نیکا_شاکرمی https://t.co/QhiPu1TUxg",1926,1916,0,848,1.005,12,257,92,0,94,2,0.501,1
1.63E+18,سارا شیرازی,"#مهسا_امینی  #مهسا_امینی ⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه. https://t.co/FOVjKrxlLr",8,2,0,14882,4,0,273,135,0,137,2,0.8,1
1.63E+18,سارا شیرازی,"#مهسا_امینی ⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه. https://t.co/9ZgOIEYicu",8,2,0,14882,4,0,260,135,0,137,1,0.8,1
1.63E+18,سارا شیرازی,"⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه…
@dadban4
#مهسا_امینی
@ICHRI_Fa @kingrex44 https://t.co/KOzCDsMRZ0",8,2,0,14882,4,0,290,135,0,137,1,0.8,1
1.63E+18,سارا شیرازی,"⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه…
@dadban4
#مهسا_امینی
@ICHRI_Fa @kingrex44 https://t.co/IsGaWlxxva",8,2,0,14882,4,0,290,135,0,137,1,0.8,1
1.63E+18,سارا شیرازی,"⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه…
@dadban4
#مهسا_امینی
@ICHRI_Fa @kingrex44 https://t.co/xec9BQIocX",8,2,0,14882,4,0,290,135,0,137,1,0.8,1
1.63E+18,سارا شیرازی,"ویدئوی ضرب و جرح یک دختر بچه توسط یکی از حامیان رژیم  به بهانه عدم رعایت حجاب اجباری در شبکه های مجازی دست به دست می شود.
"" نام این دختر بچه دانش آموز  #سارا_شیرازی ست و ضارب آن #راضیه_هفت_برادران می باشد و نام همسر او #رسول_عبداللهی و 
مدرسه محجوب محله خان #اصفهان می باشد"" https://t.co/Xmq6DU5wtO",3699,607,37,18993,6.094,15,298,3069,8,3071,4,0.859,1
1.63E+18,سارا شیرازی,"شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه…

#مهسا_امینی https://t.co/t0LiYEeBWP",1025,977,1,556,1.049,36,259,682,1,684,1,0.512,1
1.63E+18,سارا شیرازی,"⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه…
@dadban4
#مهسا_امینی
@ICHRI_Fa @kingrex44 https://t.co/gRfvrv8zMj",568,4948,2,11144,0.115,5,290,3569,9,3570,1,0.103,1
1.63E+18,سارا شیرازی,"(1)ویدئوی ضرب و جرح یک دختر بچه توسط یکی از حامیان رژیم  به بهانه عدم رعایت حجاب اجباری در شبکه های مجازی دست به دست می شود.
بنا به گفته ها : "" نام این دختر بچه دانش آموز  #سارا_شیرازی ست و ضارب آن #راضیه_هفت_برادران می باشد و نام همسر او #رسول_عبداللهی و https://t.co/emyB7PQJUP",3699,607,37,18993,6.094,73,279,3069,8,3071,3,0.859,1
1.63E+18,سارا شیرازی,"آخرین اطلاعات از ضرب و شتم یک دختر مدرسه ای در اصفهان که بدست آوردیم
ضارب آمر به معروف: راضیه هفت برادران
نام شوهرش: رسول عبداللهی
مکان حادثه: مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداختنش #سارا_شیرازی هستش💔 https://t.co/Sxo8K8VJFS",91122,7,245,20581,13017.429,30,278,3566,9,3567,1,1,1
1.63E+18,سارا شیرازی,"⚠️شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی بی گناهیم که بخاطر حجاب به اون روز انداخته سارا شیرازی هستش💔 بلایی به سرش بیارید که دیگه به حجاب دختر مردم کاری نداشته باشه…

#مهسا_امینی https://t.co/ld2GO4NQdt",1275,1903,0,1380,0.67,0,261,135,0,137,1,0.401,1
1.63E+18,سارا شیرازی,"راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم اون دختر کوچولوی سارا شیرازی هستش💔

#مهسا_امینی 
#نه_به_اعدام
#زن_زندگی_آزادی 
#اعتصابات_سراسری‌ 
#IranRevoIution 
#IRGCterrorists https://t.co/UPTQA6pRnN",17175,16917,12,27700,1.015,733,224,717,1,718,6,0.504,1
1.63E+18,سارا شیرازی,"خب این مادرخراب شناسایی شد
راضیه هفت برادران
شوهرش رسول عبداللهی
مدرسه محجوب محله خان اصفهان
اسم این دختر هم سارا شیرازی..
#مهسا_امینی 
#توماج_صالحی https://t.co/SUBmf3n9xr",1089,1222,1,15856,0.891,0,172,156,0,158,2,0.471,1
